CustomerID,Lookalikes
C0045,"[('C0175', 0.9939), ('C0143', 0.9937), ('C0101', 0.9911)]"
C0046,"[('C0122', 0.9845), ('C0068', 0.9623), ('C0065', 0.9543)]"
C0047,"[('C0098', 0.9642), ('C0160', 0.9634), ('C0055', 0.9456)]"
C0048,"[('C0006', 0.9726), ('C0184', 0.9724), ('C0187', 0.9709)]"
C0049,"[('C0034', 0.9688), ('C0038', 0.9321), ('C0072', 0.9109)]"
C0050,"[('C0185', 0.9938), ('C0042', 0.9865), ('C0016', 0.9684)]"
C0051,"[('C0114', 0.9853), ('C0170', 0.9682), ('C0141', 0.9143)]"
C0052,"[('C0031', 0.9825), ('C0129', 0.976), ('C0076', 0.9608)]"
C0053,"[('C0182', 0.9839), ('C0105', 0.981), ('C0041', 0.9663)]"
C0054,"[('C0028', 0.9746), ('C0173', 0.9646), ('C0145', 0.9645)]"
C0055,"[('C0189', 0.9868), ('C0030', 0.9835), ('C0072', 0.9724)]"
C0056,"[('C0092', 0.9542), ('C0146', 0.8804), ('C0007', 0.8729)]"
C0057,"[('C0105', 0.9944), ('C0182', 0.9834), ('C0149', 0.9748)]"
C0058,"[('C0015', 0.9933), ('C0131', 0.94), ('C0020', 0.9328)]"
C0059,"[('C0046', 0.9363), ('C0122', 0.9229), ('C0141', 0.9088)]"
C0060,"[('C0121', 0.9833), ('C0014', 0.9447), ('C0033', 0.9407)]"
C0061,"[('C0167', 0.988), ('C0009', 0.972), ('C0103', 0.9625)]"
C0062,"[('C0197', 0.995), ('C0119', 0.9921), ('C0063', 0.9828)]"
C0063,"[('C0119', 0.9959), ('C0014', 0.9835), ('C0062', 0.9828)]"
C0064,"[('C0037', 0.9851), ('C0149', 0.928), ('C0170', 0.8976)]"
C0065,"[('C0156', 0.9979), ('C0068', 0.98), ('C0046', 0.9543)]"
C0066,"[('C0044', 0.986), ('C0074', 0.9691), ('C0196', 0.942)]"
C0067,"[('C0024', 0.9609), ('C0139', 0.9476), ('C0117', 0.9436)]"
C0068,"[('C0065', 0.98), ('C0156', 0.972), ('C0046', 0.9623)]"
C0069,"[('C0164', 0.9935), ('C0135', 0.9675), ('C0167', 0.9598)]"
C0070,"[('C0164', 0.956), ('C0069', 0.9534), ('C0135', 0.9327)]"
C0071,"[('C0025', 0.9973), ('C0077', 0.9952), ('C0112', 0.9927)]"
C0072,"[('C0038', 0.9933), ('C0030', 0.9732), ('C0055', 0.9724)]"
C0073,"[('C0199', 0.9946), ('C0019', 0.987), ('C0166', 0.9867)]"
C0074,"[('C0044', 0.9858), ('C0089', 0.9753), ('C0066', 0.9691)]"
C0075,"[('C0017', 0.9687), ('C0041', 0.9631), ('C0124', 0.9108)]"
C0076,"[('C0129', 0.9698), ('C0052', 0.9608), ('C0031', 0.937)]"
C0077,"[('C0071', 0.9952), ('C0025', 0.9928), ('C0032', 0.99)]"
C0078,"[('C0115', 0.9412), ('C0007', 0.9336), ('C0146', 0.906)]"
C0079,"[('C0016', 0.9683), ('C0185', 0.9299), ('C0026', 0.9227)]"
C0080,"[('C0128', 0.9846), ('C0186', 0.9809), ('C0140', 0.9559)]"
C0081,"[('C0179', 0.9588), ('C0086', 0.8967), ('C0057', 0.8195)]"
C0082,"[('C0104', 0.9959), ('C0188', 0.9935), ('C0099', 0.9895)]"
C0083,"[('C0032', 0.9951), ('C0095', 0.9937), ('C0071', 0.9744)]"
C0084,"[('C0136', 0.9885), ('C0162', 0.9569), ('C0090', 0.9385)]"
C0085,"[('C0118', 0.9167), ('C0120', 0.9121), ('C0184', 0.911)]"
C0086,"[('C0166', 0.9528), ('C0019', 0.9386), ('C0070', 0.9002)]"
C0087,"[('C0102', 0.9982), ('C0099', 0.9923), ('C0163', 0.9896)]"
C0088,"[('C0002', 0.9848), ('C0178', 0.9694), ('C0159', 0.9681)]"
C0089,"[('C0074', 0.9753), ('C0103', 0.9648), ('C0044', 0.9339)]"
C0090,"[('C0084', 0.9385), ('C0162', 0.9185), ('C0136', 0.9002)]"
C0091,"[('C0169', 0.9028), ('C0003', 0.8901), ('C0039', 0.8823)]"
C0092,"[('C0056', 0.9542), ('C0146', 0.9406), ('C0007', 0.9163)]"
C0093,"[('C0101', 0.9978), ('C0143', 0.9902), ('C0173', 0.9894)]"
C0094,"[('C0144', 0.9967), ('C0157', 0.9857), ('C0029', 0.9743)]"
C0095,"[('C0083', 0.9937), ('C0032', 0.9824), ('C0071', 0.9638)]"
C0096,"[('C0155', 0.9825), ('C0171', 0.9639), ('C0013', 0.9372)]"
C0097,"[('C0043', 0.9853), ('C0110', 0.9281), ('C0002', 0.9103)]"
C0098,"[('C0047', 0.9642), ('C0160', 0.9188), ('C0194', 0.8972)]"
C0099,"[('C0188', 0.9981), ('C0104', 0.9951), ('C0087', 0.9923)]"
C0100,"[('C0023', 0.9831), ('C0170', 0.9745), ('C0196', 0.9474)]"
C0101,"[('C0093', 0.9978), ('C0143', 0.9967), ('C0045', 0.9911)]"
C0102,"[('C0087', 0.9982), ('C0163', 0.9948), ('C0099', 0.9912)]"
C0103,"[('C0089', 0.9648), ('C0061', 0.9625), ('C0167', 0.9573)]"
C0104,"[('C0082', 0.9959), ('C0099', 0.9951), ('C0188', 0.9949)]"
C0105,"[('C0057', 0.9944), ('C0182', 0.9859), ('C0053', 0.981)]"
C0106,"[('C0161', 0.9851), ('C0027', 0.9777), ('C0193', 0.9072)]"
C0107,"[('C0011', 0.9758), ('C0118', 0.9589), ('C0137', 0.9564)]"
C0108,"[('C0153', 0.9842), ('C0012', 0.9603), ('C0163', 0.9184)]"
C0109,"[('C0008', 0.9348), ('C0068', 0.9042), ('C0165', 0.902)]"
C0110,"[('C0159', 0.9637), ('C0123', 0.9494), ('C0043', 0.9452)]"
C0111,"[('C0010', 0.9548), ('C0121', 0.8762), ('C0172', 0.8132)]"
C0112,"[('C0071', 0.9927), ('C0025', 0.9923), ('C0077', 0.9785)]"
C0113,"[('C0004', 0.9819), ('C0169', 0.9678), ('C0165', 0.9645)]"
C0114,"[('C0051', 0.9853), ('C0170', 0.9616), ('C0141', 0.9378)]"
C0115,"[('C0040', 0.9631), ('C0007', 0.963), ('C0078', 0.9412)]"
C0116,"[('C0125', 0.9719), ('C0131', 0.9054), ('C0026', 0.9018)]"
C0117,"[('C0183', 0.9964), ('C0154', 0.9756), ('C0139', 0.9754)]"
C0118,"[('C0184', 0.9644), ('C0107', 0.9589), ('C0133', 0.9576)]"
C0119,"[('C0063', 0.9959), ('C0062', 0.9921), ('C0014', 0.9838)]"
C0120,"[('C0192', 0.9794), ('C0133', 0.9546), ('C0191', 0.9431)]"
C0121,"[('C0060', 0.9833), ('C0010', 0.9715), ('C0172', 0.9388)]"
C0122,"[('C0046', 0.9845), ('C0059', 0.9229), ('C0018', 0.9217)]"
C0123,"[('C0140', 0.9941), ('C0128', 0.9864), ('C0005', 0.9779)]"
C0124,"[('C0017', 0.9517), ('C0057', 0.9442), ('C0182', 0.9384)]"
C0125,"[('C0116', 0.9719), ('C0026', 0.9365), ('C0154', 0.9346)]"
C0126,"[('C0171', 0.9459), ('C0011', 0.9283), ('C0006', 0.915)]"
C0127,"[('C0135', 0.963), ('C0074', 0.9239), ('C0089', 0.913)]"
C0128,"[('C0123', 0.9864), ('C0080', 0.9846), ('C0140', 0.9779)]"
C0129,"[('C0052', 0.976), ('C0076', 0.9698), ('C0192', 0.9651)]"
C0130,"[('C0150', 0.9983), ('C0192', 0.9425), ('C0120', 0.8843)]"
C0131,"[('C0015', 0.9731), ('C0020', 0.966), ('C0058', 0.94)]"
C0132,"[('C0199', 0.9916), ('C0073', 0.9754), ('C0198', 0.9575)]"
C0133,"[('C0191', 0.9624), ('C0137', 0.9586), ('C0118', 0.9576)]"
C0134,"[('C0142', 0.8772), ('C0161', 0.8573), ('C0106', 0.8385)]"
C0135,"[('C0069', 0.9675), ('C0127', 0.963), ('C0164', 0.9593)]"
C0136,"[('C0084', 0.9885), ('C0162', 0.9049), ('C0090', 0.9002)]"
C0137,"[('C0191', 0.983), ('C0001', 0.979), ('C0133', 0.9586)]"
C0138,"[('C0021', 0.9728), ('C0200', 0.9381), ('C0054', 0.9121)]"
C0139,"[('C0024', 0.9866), ('C0183', 0.9847), ('C0026', 0.976)]"
C0140,"[('C0123', 0.9941), ('C0005', 0.9899), ('C0128', 0.9779)]"
C0141,"[('C0114', 0.9378), ('C0054', 0.9282), ('C0082', 0.9244)]"
C0142,"[('C0002', 0.9783), ('C0027', 0.9487), ('C0088', 0.9425)]"
C0143,"[('C0101', 0.9967), ('C0045', 0.9937), ('C0173', 0.9919)]"
C0144,"[('C0094', 0.9967), ('C0157', 0.9859), ('C0029', 0.976)]"
C0145,"[('C0173', 0.9999), ('C0143', 0.9906), ('C0101', 0.9898)]"
C0146,"[('C0007', 0.9959), ('C0186', 0.9543), ('C0092', 0.9406)]"
C0147,"[('C0190', 0.9934), ('C0174', 0.9631), ('C0003', 0.9558)]"
C0148,"[('C0013', 0.9911), ('C0163', 0.9905), ('C0104', 0.9813)]"
C0149,"[('C0057', 0.9748), ('C0182', 0.9605), ('C0105', 0.9589)]"
C0150,"[('C0130', 0.9983), ('C0192', 0.9414), ('C0095', 0.8804)]"
C0151,"[('C0077', 0.9602), ('C0025', 0.9585), ('C0071', 0.9542)]"
C0152,"[('C0137', 0.9475), ('C0191', 0.9473), ('C0001', 0.9435)]"
C0153,"[('C0012', 0.9846), ('C0108', 0.9842), ('C0163', 0.9544)]"
C0154,"[('C0183', 0.9853), ('C0026', 0.9768), ('C0117', 0.9756)]"
C0155,"[('C0096', 0.9825), ('C0171', 0.9794), ('C0013', 0.9656)]"
C0156,"[('C0065', 0.9979), ('C0068', 0.972), ('C0046', 0.9537)]"
C0157,"[('C0029', 0.9958), ('C0144', 0.9859), ('C0094', 0.9857)]"
C0158,"[('C0048', 0.9626), ('C0184', 0.9622), ('C0187', 0.9575)]"
C0159,"[('C0177', 0.9804), ('C0088', 0.9681), ('C0110', 0.9637)]"
C0160,"[('C0030', 0.9734), ('C0047', 0.9634), ('C0055', 0.9604)]"
C0161,"[('C0106', 0.9851), ('C0027', 0.9293), ('C0090', 0.8597)]"
C0162,"[('C0101', 0.9738), ('C0093', 0.9737), ('C0045', 0.9682)]"
C0163,"[('C0102', 0.9948), ('C0148', 0.9905), ('C0087', 0.9896)]"
C0164,"[('C0069', 0.9935), ('C0135', 0.9593), ('C0070', 0.956)]"
C0165,"[('C0004', 0.9826), ('C0113', 0.9645), ('C0075', 0.9055)]"
C0166,"[('C0019', 0.9951), ('C0073', 0.9867), ('C0199', 0.9683)]"
C0167,"[('C0061', 0.988), ('C0069', 0.9598), ('C0103', 0.9573)]"
C0168,"[('C0187', 0.9927), ('C0048', 0.9491), ('C0006', 0.9371)]"
C0169,"[('C0039', 0.9881), ('C0113', 0.9678), ('C0195', 0.9556)]"
C0170,"[('C0100', 0.9745), ('C0051', 0.9682), ('C0114', 0.9616)]"
C0171,"[('C0155', 0.9794), ('C0096', 0.9639), ('C0013', 0.9612)]"
C0172,"[('C0197', 0.9744), ('C0062', 0.97), ('C0019', 0.9559)]"
C0173,"[('C0145', 0.9999), ('C0143', 0.9919), ('C0101', 0.9907)]"
C0174,"[('C0147', 0.9631), ('C0190', 0.9596), ('C0052', 0.9345)]"
C0175,"[('C0045', 0.9939), ('C0028', 0.9761), ('C0143', 0.9755)]"
C0176,"[('C0038', 0.9882), ('C0189', 0.9763), ('C0157', 0.9743)]"
C0177,"[('C0159', 0.9804), ('C0193', 0.9513), ('C0178', 0.9487)]"
C0178,"[('C0088', 0.9694), ('C0159', 0.9603), ('C0177', 0.9487)]"
C0179,"[('C0081', 0.9588), ('C0149', 0.8955), ('C0057', 0.8926)]"
C0181,"[('C0147', 0.8884), ('C0001', 0.8752), ('C0195', 0.875)]"
C0182,"[('C0105', 0.9859), ('C0053', 0.9839), ('C0057', 0.9834)]"
C0183,"[('C0117', 0.9964), ('C0154', 0.9853), ('C0139', 0.9847)]"
C0184,"[('C0048', 0.9724), ('C0118', 0.9644), ('C0158', 0.9622)]"
C0185,"[('C0050', 0.9938), ('C0016', 0.9873), ('C0042', 0.9626)]"
C0186,"[('C0080', 0.9809), ('C0005', 0.9758), ('C0128', 0.963)]"
C0187,"[('C0168', 0.9927), ('C0048', 0.9709), ('C0158', 0.9575)]"
C0188,"[('C0099', 0.9981), ('C0104', 0.9949), ('C0082', 0.9935)]"
C0189,"[('C0055', 0.9868), ('C0035', 0.9769), ('C0176', 0.9763)]"
C0190,"[('C0147', 0.9934), ('C0003', 0.9807), ('C0174', 0.9596)]"
C0191,"[('C0137', 0.983), ('C0001', 0.9706), ('C0133', 0.9624)]"
C0192,"[('C0120', 0.9794), ('C0129', 0.9651), ('C0130', 0.9425)]"
C0193,"[('C0177', 0.9513), ('C0178', 0.9112), ('C0027', 0.9099)]"
C0194,"[('C0098', 0.8972), ('C0160', 0.8919), ('C0047', 0.8581)]"
C0195,"[('C0039', 0.9891), ('C0169', 0.9556), ('C0113', 0.936)]"
C0196,"[('C0023', 0.9846), ('C0100', 0.9474), ('C0066', 0.942)]"
C0197,"[('C0062', 0.995), ('C0199', 0.9781), ('C0073', 0.9772)]"
C0198,"[('C0063', 0.9707), ('C0119', 0.9591), ('C0132', 0.9575)]"
C0199,"[('C0073', 0.9946), ('C0132', 0.9916), ('C0197', 0.9781)]"
C0200,"[('C0021', 0.9823), ('C0022', 0.9786), ('C0145', 0.9382)]"
